"Cortas de madera según titularidad del monte. Concejos"

"Ámbito territorial";"TOTAL 2000";"TOTAL 2001";"TOTAL 2006";"TOTAL 2007";"TOTAL 2009";"TOTAL 2010";"TOTAL 2011";"TOTAL 2012";"TOTAL 2013";"TOTAL 2014";"TOTAL 2015";"TOTAL 2016";"TOTAL 2017";"TOTAL 2018";"Montes de particulares 2000";"Montes de particulares 2001";"Montes de particulares 2006";"Montes de particulares 2007";"Montes de particulares 2009";"Montes de particulares 2010";"Montes de particulares 2011";"Montes de particulares 2012";"Montes de particulares 2013";"Montes de particulares 2014";"Montes de particulares 2015";"Montes de particulares 2016";"Montes de particulares 2017";"Montes de particulares 2018";"Montes de utilidad pública 2000";"Montes de utilidad pública 2001";"Montes de utilidad pública 2006";"Montes de utilidad pública 2007";"Montes de utilidad pública 2009";"Montes de utilidad pública 2010";"Montes de utilidad pública 2011";"Montes de utilidad pública 2012";"Montes de utilidad pública 2013";"Montes de utilidad pública 2014";"Montes de utilidad pública 2015";"Montes de utilidad pública 2016";"Montes de utilidad pública 2017";"Montes de utilidad pública 2018";"Montes consorciados o en convenio 2000";"Montes consorciados o en convenio 2001";"Montes consorciados o en convenio 2006";"Montes consorciados o en convenio 2007";"Montes consorciados o en convenio 2009";"Montes consorciados o en convenio 2010";"Montes consorciados o en convenio 2011";"Montes consorciados o en convenio 2012";"Montes consorciados o en convenio 2013";"Montes consorciados o en convenio 2014";"Montes consorciados o en convenio 2015";"Montes consorciados o en convenio 2016";"Montes consorciados o en convenio 2017";"Montes consorciados o en convenio 2018"
"33000 ASTURIAS";780268;787567;695556;716154;585579;740075;970549;817518;864606;920489;1108874;1219186;1099795;1489676;736841;753192;605336;642900;556771;711524;672193;610216;777999;839187;1019389;1109382;1055036;1394044;2895;12555;6386;7756;1827;23859;155874;138092;18610;17859;11519;18038;28270;5084;40532;21820;83834;65498;26981;4692;142482;69210;67997;63443;77966;91766;16489;90548
"33001 Allande";5298;5917;6155;6113;6504;8078;96825;65988;920;5249;1124;4490;2764;41867;5298;5824;58;16;6344;3966;2888;1102;920;4300;675;4451;2764;7663;0;0;0;0;0;4112;22000;61033;0;0;0;0;0;0;0;93;6097;6097;160;0;71937;3853;0;949;449;39;0;34204
"33002 Aller";5429;5801;1540;1361;1052;281;455;74;446;0;485;1145;0;316;5429;5801;1540;1361;1052;281;455;74;446;0;485;1145;0;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33003 Amieva";120;86;126;0;34;0;0;0;65;20;0;0;175;0;112;86;126;0;34;0;0;0;65;20;0;0;175;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33004 Avilés";3341;2590;6124;4722;1391;7008;2411;4408;3362;5698;6670;8466;7350;6106;3341;2590;6124;4722;1391;7008;2411;4408;3362;5698;6670;8466;7350;6106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33005 Belmonte de Miranda";1780;4043;1078;975;474;343;767;242;770;824;364;0;1764;1219;1780;3407;1078;975;474;343;767;242;770;824;364;0;1764;1219;0;636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33006 Bimenes";372;740;493;479;132;114;19;78;81;62;740;174;499;156;372;740;493;479;132;114;19;78;81;62;740;174;499;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33007 Boal";8935;5326;8814;2243;2513;3738;3764;4582;5696;6771;5798;36940;3507;25710;8935;5326;7817;2243;2513;3718;3764;4582;3630;6771;5798;36940;3507;25710;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;997;0;0;0;0;0;2066;0;0;0;0;0
"33008 Cabrales";637;369;127;14;0;0;201;26;0;0;0;0;0;95;611;369;127;14;0;0;201;26;0;0;0;0;0;95;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33009 Cabranes";3969;2904;1189;1859;3253;3361;2548;2514;3198;4660;5144;3117;1445;6090;3969;2904;1189;1859;3253;3361;2548;2514;3198;4660;1854;3088;1445;6090;0;0;0;0;0;0;0;0;0;0;3290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0
"33010 Candamo";21185;21822;30863;22536;6044;15245;24113;53281;33463;33094;22419;20075;28585;33929;10972;18826;30750;20150;5648;14101;19374;35277;33463;29446;18994;18007;26461;33929;625;2996;0;1990;0;1144;1000;3106;0;0;0;0;2124;0;9588;0;113;396;396;0;3739;14898;0;3648;3425;2068;0;0
"33011 Cangas del Narcea";9253;14465;2805;2345;1193;5691;9177;14173;4876;2818;10236;2551;23929;85595;9253;14465;2805;2345;1193;5691;7677;12459;4876;2818;10236;2045;23929;73440;0;0;0;0;0;0;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1714;0;0;0;506;0;12155
"33012 Cangas de Onís";6431;2003;171;891;861;1825;0;866;949;2328;757;255;1290;1754;3893;2003;171;891;861;1825;0;866;949;2328;757;255;1290;1754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2538;0;0;0;0;0;0;0;0;0;0;0;0;0
"33013 Caravia";2542;1971;3817;2613;6810;5121;1445;1566;3566;4730;2357;2245;1535;4895;2542;1971;3817;2613;6810;5121;1445;1566;3566;4730;2357;2245;1535;4895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33014 Carreño";10892;17951;15445;19985;14004;34447;29689;14885;18452;22778;56484;24911;18254;15682;10892;17951;15445;19985;14004;34447;29689;14885;18452;22778;56484;24911;18254;15682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33015 Caso";1935;1012;295;599;162;464;281;207;3352;3200;70;4198;0;8;1876;1012;295;599;162;464;281;207;27;644;70;834;0;8;59;0;0;0;0;0;0;0;3326;2556;0;3364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33016 Castrillón";25101;17896;19041;25295;23105;23257;12698;20028;17254;15190;20937;39368;27874;30600;25101;17896;19041;25295;23105;23257;12698;20028;17254;15190;20937;39368;27874;30600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33017 Castropol";21486;14079;29348;29696;11213;8150;17957;22588;31779;31554;55599;40793;38946;110387;21486;14079;29348;29586;11213;8150;17957;22588;31779;28805;54648;36461;38946;110387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;2749;951;4332;0;0
"33018 Coaña";5261;2892;4403;47502;27568;8159;17344;4484;3640;13844;15796;13256;7833;17445;5261;2892;4403;47502;27568;8159;17344;4484;3640;13844;15796;13256;7833;16825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;620
"33019 Colunga";43132;39252;24570;24759;19821;41602;37300;43575;40583;62561;61734;52654;70301;52114;43132;35452;23091;23280;16487;39413;32245;39906;35105;56104;61734;52459;70301;52114;0;0;0;0;0;2189;2400;2655;5478;6457;0;0;0;0;0;3800;1479;1479;3334;0;2655;1014;0;0;0;195;0;0
"33020 Corvera de Asturias";15259;6247;10961;8160;5240;16038;10155;12932;12551;13618;43652;11834;13185;33731;15259;6247;10961;8160;5240;16038;10155;12932;12551;13618;43652;11834;13185;33731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33021 Cudillero";23499;18208;21703;39319;20035;19955;21025;14401;29143;41487;23149;16875;23290;26662;22305;14474;20878;36883;19903;18419;18500;14401;25246;38008;20956;15972;20187;24662;296;3584;825;2436;132;0;2525;0;3897;3479;2193;903;3103;2000;898;150;0;0;0;1536;0;0;0;0;0;0;0;0
"33022 Degaña";70;1345;0;0;0;0;0;0;0;0;14;0;0;0;70;1345;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33023 Franco, El";11967;15494;18598;8406;14139;3598;15426;9508;4853;37183;15144;117322;76387;66515;11967;15494;18598;8406;14139;3598;15426;9508;4853;37183;15144;117322;76387;66515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33024 Gijón";16197;26507;25945;28174;15209;45614;23161;32854;29034;14560;29116;44751;14562;29634;16197;26507;25945;28174;15209;45614;23161;32635;25849;14560;29116;44751;14562;29634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219;3185;0;0;0;0;0
"33025 Gozón";17474;22812;17041;27231;13017;19899;25131;23238;28017;25015;49466;27655;28151;26400;17474;22812;17041;27231;13017;19899;25131;23238;28017;25015;49466;27655;28151;26400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
