"Cortas de madera según especie"

"Periodo";"TOTAL";"Abedul";"Aliso";"Castaño";"Chopo";"Eucalipto";"Haya";"Pino pinaster";"Pino radiata";"Pino silvestre";"Quercíneas";"Otras especies"
"1990";727637;3685;6114;62675;3294;295884;3179;179219;155686;1190;14124;2587
"1991";538966;3547;5766;65042;2916;224616;1279;108896;106609;5582;12237;2476
"1992";482492;3551;4982;67965;2429;222131;2834;85463;77722;2203;11074;2138
"1993";452587;3498;4857;68125;1846;218147;1717;83870;57417;1158;9895;2057
"1994";622624;3951;6993;72963;2205;338836;1291;103660;78740;1081;10480;2424
"1995";725497;4448;6022;85928;3165;398473;1554;93149;119626;376;10100;2656
"1996";575248;5038;7534;86129;2977;313883;2489;70616;70933;1930;11032;2687
"1997";614625;4886;7541;87178;2976;316807;3893;84886;87859;4608;10896;3095
"1998";623262;4790;7032;86375;3039;342404;2645;82239;78947;2302;10679;2810
"1999";634869;4628;5464;102097;3567;353074;1246;65146;83231;559;11150;4707
"2000";763858;4331;3842;80019;2307;476555;1060;74559;107886;2037;8842;2420
"2001";787567;5505;4962;79150;2245;538436;1119;62692;76490;994;11003;4971
"2002";723985;4157;3885;59724;1947;496723;828;60425;74724;11641;8163;1768
"2003";662087;597;3312;42921;47;482074;1545;59491;60569;1076;8539;1916
"2004";831048;2880;2917;44955;371;609551;1767;75015;84207;1374;6290;1721
"2005";755661;2706;2823;50036;1650;559862;714;62669;57778;8579;6723;2121
"2006";695556;2256;1735;43029;774;472746;637;67127;72127;28447;4773;1905
"2007";716154;2688;1458;38630;1516;514055;364;74210;59609;16220;5258;2146
"2008";569107;1689;1318;21737;996;461843;289;26964;42237;2469;5079;4486
"2009";585579;1869;1063;26080;508;447043;193;51936;48903;1601;4305;2078
"2010";740075;1940;801;24024;236;627024;227;25962;40696;13234;4522;1409
"2011";970549;0;0;24664;0;624798;0;113341;124909;37943;5234;39660
"2012";817518;0;0;17154;0;563621;0;62489;115714;46034;5253;7253
"2013";864606;0;0;28595;0;680777;0;61600;75633;7060;4928;6013
"2014";920489;3141;0;26033;0;679835;0;71323;124267;6287;5071;4532
"2015";1108874;2169;0;25249;0;837351;0;81321;141445;3139;5097;13103
"2016";1219186;1687;0;30987;0;852973;0;110808;203470;89;4452;14720
"2017";1099795;1251;264;23045;843;813855;0;82817;163120;8214;4203;2183
"2018";1489676;1789;626;16855;1264;900149;821;120434;404604;34320;4729;4085
"2019";1201135;1715;267;23183;834;783316;340;71200;306803;5929;5224;2324
