"Cortas de madera según especie. Concejos"

"Ámbito territorial";"TOTAL 2006";"TOTAL 2007";"TOTAL 2008";"TOTAL 2009";"TOTAL 2010";"TOTAL 2011";"TOTAL 2012";"TOTAL 2013";"TOTAL 2014";"TOTAL 2015";"TOTAL 2016";"TOTAL 2017";"TOTAL 2018";"Castaño 2006";"Castaño 2007";"Castaño 2008";"Castaño 2009";"Castaño 2010";"Castaño 2011";"Castaño 2012";"Castaño 2013";"Castaño 2014";"Castaño 2015";"Castaño 2016";"Castaño 2017";"Castaño 2018";"Eucalipto 2006";"Eucalipto 2007";"Eucalipto 2008";"Eucalipto 2009";"Eucalipto 2010";"Eucalipto 2011";"Eucalipto 2012";"Eucalipto 2013";"Eucalipto 2014";"Eucalipto 2015";"Eucalipto 2016";"Eucalipto 2017";"Eucalipto 2018";"Pino pinaster 2006";"Pino pinaster 2007";"Pino pinaster 2008";"Pino pinaster 2009";"Pino pinaster 2010";"Pino pinaster 2011";"Pino pinaster 2012";"Pino pinaster 2013";"Pino pinaster 2014";"Pino pinaster 2015";"Pino pinaster 2016";"Pino pinaster 2017";"Pino pinaster 2018";"Pino radiata 2006";"Pino radiata 2007";"Pino radiata 2008";"Pino radiata 2009";"Pino radiata 2010";"Pino radiata 2011";"Pino radiata 2012";"Pino radiata 2013";"Pino radiata 2014";"Pino radiata 2015";"Pino radiata 2016";"Pino radiata 2017";"Pino radiata 2018";"Pino silvestre 2006";"Pino silvestre 2007";"Pino silvestre 2008";"Pino silvestre 2009";"Pino silvestre 2010";"Pino silvestre 2011";"Pino silvestre 2012";"Pino silvestre 2013";"Pino silvestre 2014";"Pino silvestre 2015";"Pino silvestre 2016";"Pino silvestre 2017";"Pino silvestre 2018";"Quercíneas 2006";"Quercíneas 2007";"Quercíneas 2008";"Quercíneas 2009";"Quercíneas 2010";"Quercíneas 2011";"Quercíneas 2012";"Quercíneas 2013";"Quercíneas 2014";"Quercíneas 2015";"Quercíneas 2016";"Quercíneas 2017";"Quercíneas 2018";"Otras especies 2006";"Otras especies 2007";"Otras especies 2008";"Otras especies 2009";"Otras especies 2010";"Otras especies 2011";"Otras especies 2012";"Otras especies 2013";"Otras especies 2014";"Otras especies 2015";"Otras especies 2016";"Otras especies 2017";"Otras especies 2018"
"33000 ASTURIAS";695556;716154;569107;585579;740075;970549;817518;864606;920489;1108874;1219186;1099795;1489676;43029;38630;21737;26080;24024;24664;17154;28595;26033;25249;30987;23045;16855;472746;514055;461843;447043;627024;624798;563621;680777;679835;837351;852973;813855;900149;67127;74210;26964;51936;25962;113341;62489;61600;71323;81321;110808;82817;120434;72127;59609;42237;48903;40696;124909;115714;75633;124267;141445;203470;163120;404604;28447;16220;2469;1601;13234;37943;46034;7060;6287;3139;89;8214;34320;..;..;..;..;..;..;..;..;..;5097;4452;4203;4729;12080;13430;13857;10016;9135;44894;12506;10941;12744;15272;16407;4541;8585
"33001 Allande";6154;6113;5940;6504;8078;96824;65988;919;5249;1124;4490;2764;41867;54;16;10;1323;1400;976;530;415;212;208;1099;1166;1087;0;0;262;1281;777;102;133;0;7;145;36;14;539;600;601;0;68;0;32985;20013;0;4;92;13;0;1988;87;88;5041;3428;1684;16819;6678;492;4043;182;3234;1396;7656;5409;5408;160;164;4112;34758;38611;0;949;449;39;0;29297;..;..;..;..;..;..;..;..;..;42;27;66;48;4;0;467;240;105;11184;23;12;34;6;42;122;1252
"33002 Aller";1540;1361;2711;1052;281;455;74;445;0;485;1145;0;316;1382;1201;1202;959;88;338;41;317;0;414;169;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;6;0;0;0;0;0;0;886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;45;33;0;6;158;158;1508;87;193;117;33;128;0;26;57;0;52
"33003 Amieva";126;0;13;34;0;0;0;65;20;0;0;175;0;1;0;13;3;0;0;0;39;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;0;125;0;0;31;0;0;0;26;0;0;0;0;0
"33004 Avilés";6124;4722;1674;1391;7008;2411;4408;3362;5698;6670;8466;7350;6106;2;21;0;2;0;10;3;0;15;0;0;0;2;6122;4689;1674;1347;7008;2401;4377;3356;5594;6662;8411;7337;6090;0;0;0;20;0;0;6;0;32;0;39;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;1;0;12;0;22;0;0;22;6;57;8;16;0;7
"33005 Belmonte de Miranda";1078;975;135;474;343;766;242;770;824;364;0;1764;1219;704;113;83;230;219;66;100;191;293;175;0;105;74;65;0;0;234;124;0;114;571;474;150;0;1486;552;26;0;0;0;0;0;0;0;8;0;0;140;66;0;847;3;0;0;679;0;0;28;0;0;0;493;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;25;0;33;28;283;15;49;10;0;21;28;8;21;14;0;0;6
"33006 Bimenes";493;479;227;132;114;19;78;82;62;740;174;499;156;435;439;36;62;81;0;55;69;43;12;0;43;13;15;0;191;3;0;19;0;4;6;80;111;250;133;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;616;55;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;8;6;31;0;23;40;0;67;33;0;23;9;13;24;2;25;10
"33007 Boal";8814;2243;2596;2513;3738;3764;4582;5696;6771;5798;36940;3507;25710;319;149;152;275;260;100;1227;1617;372;267;373;103;48;1874;1257;1567;1057;1038;1948;1783;710;3639;2771;21154;702;4192;3401;551;0;418;902;1061;459;2398;1124;1034;7281;419;1926;2983;233;808;598;1195;503;939;621;1230;1346;7437;2171;19478;48;0;0;0;159;0;0;0;0;0;0;4;0;..;..;..;..;..;..;..;..;..;68;43;55;63;189;53;69;165;184;152;174;350;406;312;652;53;3
"33008 Cabrales";127;14;285;0;0;201;26;0;0;0;0;0;95;43;8;0;0;0;114;8;0;0;0;0;0;0;0;0;265;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;0;0;0;0;84;6;20;0;0;87;18;0;0;0;0;0;0
"33009 Cabranes";1189;1859;2072;3253;3361;2548;2514;3198;4660;5144;3117;1445;6090;12;124;149;166;127;31;115;55;198;241;73;15;85;773;1629;1683;2930;3038;2417;2142;2885;4197;953;2292;1403;4325;0;0;0;0;4;5;1;2;90;1645;511;0;1280;404;6;193;10;116;1;25;127;3;2087;176;4;236;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;123;30;20;112;0;100;47;147;76;94;231;129;172;95;35;3;52
