"Cortas de madera según titularidad del monte"

"Periodo";"TOTAL";"Montes de particulares";"Montes de utilidad pública, consorciados o en convenio"
"1990";727637;637919;89718
"1991";538966;478515;60451
"1992";482492;426659;55833
"1993";452587;415403;37184
"1994";622624;591914;30710
"1995";725497;652856;72641
"1996";575248;536063;39185
"1997";614625;536112;78513
"1998";623262;553650;69612
"1999";634869;603019;31850
"2000";763858;720431;43427
"2001";787567;753192;34375
"2002";723985;651922;72063
"2003";662087;615477;46610
"2004";831048;762551;68497
"2005";755661;712785;42876
"2006";695556;605336;90220
"2007";716154;642900;73254
"2008";569107;533900;35207
"2009";585579;556771;28808
"2010";740075;711524;28551
"2011";970549;672193;298356
"2012";817518;610216;207302
"2013";864606;777999;86607
"2014";920489;839187;81302
"2015";1108874;1019389;89485
"2016";1219186;1109382;109804
"2017";1099795;1055036;44759
"2018";1489676;1394044;95632
"2019";1201135;1147460;53675
